Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR
-,-,-,0.77,0.90,0.75,0.68,0.79,0.91,0.79,0.69,0.00,0.95,0.00,0.00
Safety,p1,os_simple,0.76,0.90,0.75,0.66,0.82,0.84,0.88,0.76,0.19,0.77,0.23,0.04
Safety,p2,os_simple,0.77,0.89,0.74,0.69,0.82,0.84,0.88,0.76,0.21,0.77,0.20,0.06
Safety,p3,os_simple,0.78,0.90,0.77,0.68,0.83,0.87,0.88,0.76,0.20,0.77,0.25,0.04
Safety1,p1,os_simple,0.76,0.90,0.76,0.64,0.82,0.84,0.88,0.76,0.19,0.77,0.23,0.04
Safety1,p2,os_simple,0.77,0.90,0.75,0.69,0.82,0.84,0.88,0.76,0.21,0.77,0.20,0.06
Safety1,p3,os_simple,0.78,0.90,0.79,0.67,0.83,0.87,0.88,0.76,0.20,0.77,0.25,0.04
Safety2,p1,os_simple,0.76,0.90,0.75,0.64,0.82,0.84,0.88,0.76,0.19,0.77,0.23,0.04
Safety2,p2,os_simple,0.77,0.90,0.75,0.67,0.82,0.84,0.88,0.75,0.19,0.77,0.23,0.04
Safety2,p3,os_simple,0.76,0.90,0.77,0.64,0.82,0.84,0.88,0.76,0.21,0.77,0.20,0.06
Safety3,p1,os_simple,0.76,0.90,0.76,0.64,0.82,0.84,0.88,0.76,0.19,0.77,0.23,0.04
Safety3,p2,os_simple,0.78,0.90,0.75,0.70,0.82,0.84,0.88,0.76,0.21,0.77,0.20,0.06
Safety3,p3,os_simple,0.77,0.90,0.77,0.67,0.83,0.87,0.88,0.76,0.20,0.77,0.25,0.04
Safety,p1,os_classwise,0.75,0.91,0.75,0.62,0.82,0.84,0.88,0.76,0.59,0.54,0.60,0.63
Safety,p2,os_classwise,0.76,0.90,0.73,0.68,0.82,0.84,0.88,0.76,0.60,0.53,0.60,0.66
Safety,p3,os_classwise,0.77,0.89,0.75,0.68,0.83,0.87,0.88,0.76,0.59,0.53,0.60,0.66
Safety1,p1,os_classwise,0.75,0.90,0.77,0.62,0.82,0.84,0.88,0.76,0.59,0.54,0.60,0.63
Safety1,p2,os_classwise,0.77,0.90,0.75,0.68,0.82,0.84,0.88,0.76,0.60,0.53,0.60,0.66
Safety1,p3,os_classwise,0.76,0.90,0.75,0.65,0.83,0.87,0.88,0.76,0.59,0.53,0.60,0.66
Safety2,p1,os_classwise,0.75,0.90,0.75,0.62,0.82,0.84,0.88,0.76,0.59,0.54,0.60,0.63
Safety2,p2,os_classwise,0.78,0.90,0.75,0.68,0.82,0.84,0.88,0.76,0.59,0.54,0.60,0.64
Safety2,p3,os_classwise,0.77,0.90,0.75,0.68,0.82,0.84,0.88,0.76,0.59,0.53,0.60,0.66
Safety3,p1,os_classwise,0.75,0.90,0.75,0.62,0.82,0.84,0.88,0.76,0.59,0.54,0.60,0.63
Safety3,p2,os_classwise,0.77,0.90,0.75,0.69,0.82,0.84,0.88,0.76,0.60,0.53,0.60,0.66
Safety3,p3,os_classwise,0.77,0.90,0.76,0.66,0.83,0.87,0.88,0.76,0.59,0.53,0.60,0.66
