Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR,LR_MinLR
-,-,-,0.76,0.86,0.77,0.63,0.80,0.72,0.88,0.85,0.49,0.75,0.24,0.97,0.58,0.11,0.05
Safety,p1,os_simple,0.75,0.86,0.83,0.51,0.85,0.76,0.77,0.85,0.69,0.75,0.53,0.89,0.73,0.60,0.20
Safety,p2,os_simple,0.75,0.86,0.83,0.51,0.85,0.78,0.77,0.85,0.71,0.80,0.62,0.89,0.77,0.60,0.35
Safety,p3,os_simple,0.76,0.86,0.83,0.54,0.85,0.80,0.83,0.87,0.71,0.80,0.50,0.89,0.77,0.63,0.15
Safety1,p1,os_simple,0.72,0.86,0.83,0.46,0.85,0.77,0.77,0.85,0.71,0.75,0.50,0.87,0.77,0.63,0.15
Safety1,p2,os_simple,0.74,0.87,0.85,0.49,0.85,0.77,0.77,0.85,0.71,0.75,0.46,0.88,0.79,0.66,0.10
Safety1,p3,os_simple,0.73,0.85,0.83,0.49,0.85,0.78,0.82,0.85,0.71,0.75,0.55,0.89,0.79,0.66,0.20
Safety2,p1,os_simple,0.76,0.87,0.83,0.54,0.85,0.76,0.77,0.85,0.71,0.70,0.50,0.88,0.77,0.63,0.15
Safety2,p2,os_simple,0.74,0.85,0.83,0.51,0.85,0.76,0.77,0.85,0.71,0.70,0.50,0.87,0.77,0.63,0.15
Safety2,p3,os_simple,0.74,0.86,0.85,0.49,0.85,0.76,0.77,0.85,0.71,0.70,0.45,0.89,0.79,0.60,0.10
Safety3,p1,os_simple,0.75,0.87,0.85,0.51,0.85,0.77,0.77,0.85,0.71,0.75,0.50,0.88,0.77,0.63,0.15
Safety3,p2,os_simple,0.77,0.87,0.83,0.57,0.85,0.77,0.77,0.85,0.71,0.75,0.50,0.89,0.79,0.60,0.15
Safety3,p3,os_simple,0.75,0.86,0.83,0.51,0.85,0.79,0.82,0.85,0.71,0.80,0.59,0.90,0.77,0.60,0.30
Safety,p1,os_classwise,0.68,0.85,0.81,0.37,0.85,0.78,0.77,0.85,0.71,0.80,0.80,0.79,0.73,0.86,0.85
Safety,p2,os_classwise,0.71,0.89,0.79,0.46,0.80,0.78,0.77,0.85,0.71,0.80,0.82,0.79,0.77,0.89,0.85
Safety,p3,os_classwise,0.68,0.86,0.81,0.37,0.85,0.80,0.83,0.87,0.71,0.80,0.85,0.79,0.88,0.89,0.85
Safety1,p1,os_classwise,0.68,0.86,0.81,0.40,0.75,0.78,0.77,0.85,0.71,0.80,0.79,0.78,0.69,0.86,0.85
Safety1,p2,os_classwise,0.69,0.87,0.77,0.40,0.85,0.78,0.77,0.85,0.71,0.80,0.81,0.78,0.77,0.86,0.85
Safety1,p3,os_classwise,0.65,0.87,0.75,0.34,0.80,0.79,0.82,0.85,0.71,0.80,0.84,0.81,0.83,0.86,0.85
Safety2,p1,os_classwise,0.70,0.86,0.83,0.43,0.80,0.78,0.77,0.85,0.71,0.80,0.79,0.78,0.69,0.86,0.85
Safety2,p2,os_classwise,0.72,0.87,0.83,0.46,0.80,0.78,0.77,0.85,0.71,0.80,0.81,0.78,0.75,0.86,0.85
Safety2,p3,os_classwise,0.68,0.87,0.83,0.37,0.80,0.78,0.77,0.85,0.71,0.80,0.83,0.80,0.77,0.89,0.85
Safety3,p1,os_classwise,0.70,0.85,0.79,0.43,0.85,0.78,0.77,0.85,0.71,0.80,0.80,0.78,0.67,0.86,0.90
Safety3,p2,os_classwise,0.69,0.90,0.79,0.37,0.85,0.78,0.77,0.85,0.71,0.80,0.82,0.78,0.75,0.89,0.85
Safety3,p3,os_classwise,0.68,0.86,0.83,0.37,0.80,0.79,0.82,0.85,0.71,0.80,0.85,0.82,0.85,0.89,0.85
