Safety,p,ov_method,CART_Gmean,CART_Max,CART_MinCART,CART_MinCART,CART_MinCART,CART_MinCART,CART_MinCART,3NN_Gmean,3NN_Max,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,3NN_Min3NN,LR_Gmean,LR_Max,LR_MinLR,LR_MinLR,LR_MinLR,LR_MinLR,LR_MinLR
-,-,-,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00
Safety,p1,os_simple,+0.28,+0.00,-0.18,+0.05,+0.00,+0.03,-0.10,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.45,+0.07,+0.17,+0.00,+0.35
Safety,p2,os_simple,+0.39,+0.00,-0.12,+0.11,-0.03,+0.10,+0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.37,+0.27,+0.20,+0.00,+0.35
Safety,p3,os_simple,+0.32,-0.01,-0.10,-0.07,+0.00,+0.07,-0.10,+0.45,-0.02,+0.08,+0.00,+0.03,+0.13,+0.00,+0.00,-0.01,+0.24,+0.64,+0.29,+0.00,+0.35
Safety1,p1,os_simple,+0.31,+0.01,-0.24,-0.07,+0.03,+0.07,-0.05,+0.42,-0.07,+0.04,-0.07,-0.06,+0.13,+0.00,+0.00,-0.01,+0.49,+0.00,+0.14,+0.00,+0.35
Safety1,p2,os_simple,+0.33,+0.00,-0.18,-0.02,+0.03,+0.10,-0.10,+0.42,-0.07,+0.04,-0.07,-0.03,+0.13,+0.00,+0.00,-0.01,+0.51,+0.09,+0.17,+0.00,+0.35
Safety1,p3,os_simple,+0.28,+0.01,-0.12,+0.00,+0.00,+0.03,-0.10,+0.43,-0.03,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.45,+0.39,+0.11,+0.00,+0.35
Safety2,p1,os_simple,+0.38,+0.00,-0.08,-0.07,+0.03,+0.10,+0.00,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.49,+0.02,+0.20,+0.00,+0.35
Safety2,p2,os_simple,+0.35,+0.01,-0.24,-0.09,-0.03,+0.13,+0.00,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.51,+0.05,+0.17,+0.00,+0.35
Safety2,p3,os_simple,+0.00,-0.00,-0.08,+0.07,-0.06,+0.00,+0.00,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.41,+0.30,+0.17,+0.00,+0.35
Safety3,p1,os_simple,+0.34,+0.01,-0.16,-0.05,-0.03,+0.10,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.49,+0.02,+0.20,+0.00,+0.35
Safety3,p2,os_simple,+0.00,+0.01,-0.04,+0.07,-0.03,+0.00,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.47,+0.27,+0.17,+0.00,+0.35
Safety3,p3,os_simple,+0.00,-0.00,-0.20,+0.02,+0.09,+0.00,-0.05,+0.43,-0.03,+0.04,-0.07,+0.00,+0.13,+0.00,+0.00,-0.01,+0.35,+0.52,+0.17,+0.00,+0.35
Safety,p1,os_classwise,+0.34,+0.00,-0.16,+0.02,+0.00,+0.07,+0.00,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.43,-0.11,+0.39,+0.61,+0.66,+0.07,+0.45
Safety,p2,os_classwise,+0.31,+0.01,-0.20,-0.02,-0.06,+0.07,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.43,-0.11,+0.41,+0.61,+0.66,+0.07,+0.45
Safety,p3,os_classwise,+0.31,-0.01,-0.18,-0.09,-0.06,+0.07,-0.05,+0.45,-0.02,+0.08,+0.00,+0.03,+0.13,+0.00,+0.53,-0.11,+0.47,+0.57,+0.66,+0.23,+0.40
Safety1,p1,os_classwise,+0.32,+0.01,-0.16,-0.11,-0.06,+0.10,-0.10,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.41,-0.14,+0.27,+0.75,+0.60,+0.07,+0.45
Safety1,p2,os_classwise,+0.34,+0.01,-0.06,-0.11,+0.03,+0.07,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.37,-0.13,+0.33,+0.66,+0.63,+0.03,+0.45
Safety1,p3,os_classwise,+0.29,-0.00,-0.20,-0.09,-0.09,+0.07,-0.10,+0.43,-0.03,+0.04,-0.07,+0.00,+0.13,+0.00,+0.49,-0.07,+0.37,+0.57,+0.66,+0.17,+0.45
Safety2,p1,os_classwise,+0.32,-0.00,-0.12,-0.11,+0.00,+0.07,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.37,-0.13,+0.31,+0.70,+0.60,+0.03,+0.45
Safety2,p2,os_classwise,+0.33,+0.02,-0.12,-0.09,+0.03,+0.07,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.37,-0.12,+0.33,+0.64,+0.63,+0.03,+0.45
Safety2,p3,os_classwise,+0.32,+0.01,-0.18,-0.18,+0.09,+0.07,-0.05,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.48,-0.10,+0.39,+0.61,+0.66,+0.13,+0.45
Safety3,p1,os_classwise,+0.34,-0.00,-0.12,-0.14,+0.03,+0.07,+0.00,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.37,-0.13,+0.31,+0.66,+0.60,+0.03,+0.45
Safety3,p2,os_classwise,+0.34,+0.01,-0.16,+0.00,-0.03,+0.07,+0.00,+0.43,-0.07,+0.04,-0.07,+0.00,+0.13,+0.00,+0.43,-0.11,+0.39,+0.61,+0.66,+0.07,+0.45
Safety3,p3,os_classwise,+0.30,-0.00,-0.18,+0.00,-0.06,+0.07,-0.10,+0.43,-0.03,+0.04,-0.07,+0.00,+0.13,+0.00,+0.52,-0.07,+0.45,+0.52,+0.66,+0.20,+0.45
